created_at,location,text,polarity
Fri Mar 03 18:14:58 +0000 2017,"Puerto Rico, USA","RT @pitbull: Countdown to Climate Change on 3/17. Pre-order and get 6 tracks now, including Options and Greenlight. https://t.co/YioCu5p2kz",positive
Fri Mar 03 18:16:44 +0000 2017,"San Juan, Puerto Rico",RT @_misiaszek: dream team https://t.co/Vzq943bBNY,positive
Fri Mar 03 18:54:36 +0000 2017,"Puerto Rico, USA",RT @gameinfliction: Follow/RT for a chance to win Dishonored (PC) [#Steam Key] - Ends 9PM CST #FreeCodeFriday https://t.co/qFEVPVbaLG,positive
Fri Mar 03 21:46:01 +0000 2017,Puerto Rico,RT BleacherReport: Shaq vows to never discuss Javale McGee situation https://t.co/jmjYrCt1u5 https://t.co/2B9fhyDc4P,positive
Fri Mar 03 21:48:07 +0000 2017,Puerto Rico,Shaq vows to never discuss Javale McGee situation https://t.co/jmjYrCt1u5 https://t.co/2B9fhyDc4P,positive
Fri Mar 03 22:20:08 +0000 2017,"Luquillo, Puerto Rico","RT @chrislhayes: You're welcome Michigan ,Ohio and Pennsylvania voters! https://t.co/PVeogDW003",positive
Sat Mar 04 00:35:13 +0000 2017,"Puerto Rico, USA",RT @untouchwords: I wish my phone came with unlimited battery life and strong internet connection.,positive
Sat Mar 04 15:54:16 +0000 2017,Puerto Rico and Tampa,"RT @chrislhayes: You're welcome Michigan ,Ohio and Pennsylvania voters! https://t.co/PVeogDW003",positive
Sat Mar 04 16:29:13 +0000 2017,Puerto Rico,"Steelers, Titans targeting CB Dre Kirkpatrick in free agency, per RapSheet https://t.co/zY4dICT8Qs https://t.co/z00Y1dM1GH",positive
Sat Mar 04 17:03:13 +0000 2017,Puerto Rico & USA,RT @TheDoctors: ICYMI: Can taking antioxidants in pill form fuel cancer growth?! https://t.co/TcyDVU3ZEu https://t.co/eereTSqDTX,positive
Sat Mar 04 17:34:35 +0000 2017,Puerto Rico,US shale producers renew their challenge to OPEC. Great for them. Not so great for the price of oil... https://t.co/n9ydi6pRoB,positive
Sat Mar 04 18:10:26 +0000 2017,Puerto Rico,RT @insideclimate: USGS Scientists: Millions Now at Risk From Oil and Gas-Related Earthquakes https://t.co/N53PrTWydz,positive
Sat Mar 04 19:19:14 +0000 2017,Puerto Rico,RT @greenpeaceusa: Yikes. Climate change is carving a giant crater through Siberia's permafrost.https://t.co/YrHN9JT3sF,positive
Sat Mar 04 22:01:42 +0000 2017,Puerto Rico,Anyone here still plays UNIEL on steam,positive
Sun Mar 05 16:46:14 +0000 2017,"Puerto Rico, USA",no mires que no hay JAJAJAJ https://t.co/m2UAQKWl06,positive
Sun Mar 05 17:07:30 +0000 2017,Puerto Rico,"Check out this set from Telekinesis

https://t.co/cjRBvZcKyl",positive
Sun Mar 05 17:08:09 +0000 2017,Puerto Rico,"Check out this set from @Telekinesisdnb on Blackout Podcast's 

https://t.co/cjRBvZcKyl",positive
Sun Mar 05 17:17:54 +0000 2017,"Fajardo, Puerto Rico",RT @0Wanted1: Es como un control sin bateria https://t.co/zI0WOvp6cL,positive
Sun Mar 05 21:15:10 +0000 2017,Puerto Rico ,RT @Megalodon_BT: Dura mas que las relaciones por ahi https://t.co/J0rc75kK4T,positive
Mon Mar 06 15:39:29 +0000 2017,Puerto Rico,WHO: Pollution is killing millions of children each year https://t.co/Go0Rc8KlE6,positive
Mon Mar 06 15:39:29 +0000 2017,Puerto Rico,WHO: Pollution is killing millions of children each year https://t.co/VHJmLVL4Ol,positive
Mon Mar 06 15:42:15 +0000 2017,Puerto Rico,RT @ruthartxe: he's 40 https://t.co/ZOTPu6uy3H,positive
